<<<ID=1782>>>	Скоро будет добавлено объяснение ...
<<<ID=336>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის პირველი დანართის მე-5 თავის (განსაკუთრებული მითითებების ნიშნები) 5.1 პუნქტის თანახმად საგზაო ნიშანი 5.1 „ავტომაგისტრალი” - ავტომაგისტრალი, რომელზედაც მოქმედებს ავტომა¬გისტრალზე მოძრაობის მომწესრიგებელი ნორმების მოთხოვნები. ნიშანი იდგმება ავტომაგისტრალის დასაწყისში ან მის სიახლოვეს 8.1.1 დაფით. ამავე კანონის 38-ე მუხლის პირველი პუნქტის „გ.ა“ ქვეპუნქტის თანახმად ავტომაგისტრალზე, ავტომაგისტრალის შესასვლელსა და გამოსასვლელზე მძღოლს ეკრძალება ავტომობილის (ან/და მისი მისაბმელის) გაჩერება ან დგომა, დგომისთვის გამოყოფილი, სპეციალურად მონიშნული ადგილების გარდა. მძღოლმა, რომელიც მისგან დამოუკიდებელი გარემოებების გამო იძულებულია, გაჩერდეს, უნდა მიიღოს ყველა ზომა ავტომობილის (ან/და მისი მისაბმელის) გზის სავალი ნაწილიდან გასაყვანად, ხოლო თუ ამის დაუყოვნებლივ გაკეთება შეუძლებელია − ჩართოს საავარიო შუქსიგნალიზაცია (მისი არსებობის შემთხვევაში) და შესაბამისი ნიშნით მონიშნოს ავტომობილი (ან/და მისი მისაბმელი) საკმარის მანძილზე, რათა დროულად გააფრთხილოს მოახლოებული მძღოლები. ამავე კანონის 52-ე მუხლის პირველი პუნქტის „ა“ ქვეპუნქტისა და მე-2 პუნქტის „ბ“ ქვეპუნქტის თანახმად: 1. საავარიო შუქსიგნალიზაცია გამოიყენება მოსალოდნელი საფრთხის შესახებ სხვა საგზაო მოძრაობის მონაწილეთა გაფრთხილებისათვის. საავარიო შუქსიგნალიზაცია უნდა ჩაირთოს: ბ) იმ ადგილას იძულებით გაჩერების დროს, სადაც გაჩერება აკრძალულია; 2. საავარიო შუქსიგნალიზაციის ჩართვის შემდეგ, აგრეთვე თუ ასეთი სიგნალიზაცია არ არსებობს ან მწყობრიდანაა გამოსული, მძღოლმა დაუყოვნებლივ უნდა დადგას „საავარიო გაჩერების ნიშანი“, ხოლო არასაკმარისი ხილვადობის პირობებში − მოციმციმე წითელი ფარანი: ბ) იმ ადგილას იძულებით გაჩერების დროს, სადაც გაჩერება აკრძალულია, და იქ, სადაც, ხილვადობის პირობების გათვალისწინებით, სხვა მძღოლები ვერ შეძლებენ სატრანსპორტო საშუალების დროულად შემჩნევას.
<<<ID=554>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 45-ე მუხლის პირველი პუნქტის თანახმად, დასაშვებია მექანიკური სატრანსპორტო საშუალებით (მისაბმელის გარეშე) სხვა მექანიკური სატრანსპორტო საშუალების ბუქსირება ამ კანონით დადგენილი წესით.
<<<ID=67>>>	თუ შუქნიშანის წინ ბავშვები აპირებენ გზაზე გადასვლას შუქნიშანთან მიახლოებული სატრანსპორტო საშუალების მძღოლმა უნდა გაითვალისწინოს, რომ: - ბავშვები შეიძლება სავალ ნაწილზე გადმოვიდნენ შუქნიშნის მწვანე მაშუქი სიგნალის ყვითელი სიგნალით შეცვლისთანავე; - ჯგუფიდან ხელის კვრით რომელიმე ბავშვს შეიძლება აიძულონ სავალ ნაწილზე გადმოსვლა; - შეიძლება ბავშვები სავალ ნაწილზე გადმოვიდნენ მათთვის შუქნიშნის ნებადამრთველი სიგნალის ჩართვამდე.
<<<ID=431>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 29-ე მუხლის მე-8 პუნქტის თანახმად რკინიგზის გადასასვლელზე, გასახსნელი ხიდის მისასვლელთან, გემის ან ბორნის მისადგომთან, გზაზე სახანძრო ავტომობილის გამოსასვლელთან და იმ ადგილას, სადაც გზას დაბალ სიმაღლეზე კვეთს საფრენი აპარატის ტრაექტორია, გამოიყენება ერთ სადგარზე, ერთსა და იმავე სიმაღლეზე განლაგებული, ერთ მხარეს მიმართული ორი მორიგეობით მოციმციმე ან ერთი მოციმციმე წითელი ან ყვითელი მაშუქი სიგნალი, რომელთაგან წითელი მაშუქი სიგნალი კრძალავს „სდექ“ ხაზის გადაკვეთას, მისი არარსებობის შემთხვევაში კი − შუქნიშნის იქით გადასვლას, ხოლო ყვითელი მაშუქი სიგნალი ნიშნავს, რომ მძღოლებს შეუძლიათ გააგრძელონ მოძრაობა, მაგრამ, ამასთანავე, ვალდებული არიან, დაიცვან განსაკუთრებული სიფრთხილე.
<<<ID=289>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 34-ე მუხლის მე-11 პუნქტის თანახმად, სატრანსპორტო საშუალებას შეუძლია იმ სატრანსპორტო საშუალებას, რომელიც უახლოვდება ქვეითთა გადასასვლელს ან რომელიც შეჩერდა უშუალოდ ამ გადასასვლელის წინ, გაუსწროს მხოლოდ საკმარისად შემცირებული სიჩქარით, რათა უზრუნველყოს დროული გაჩერება გადასასვლელზე ქვეითის აღმოჩენის შემთხვევაში. აკრძალულია ქვეითთა გადასასვლელზე გასწრება, თუ მასზე ქვეითი მოძრაობს.
<<<ID=299>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის პირველი დანართის მე-ს თავის (ამკრძალავი ნიშანები) 3.20 პუნქტის თანახმად, საგზაო ნიშანი 3.20 „გასწრება აკრძალულია” - კრძალავს ყველა სახის მექანიკური სატრან¬სპორ¬ტო საშუალების გასწრებას (გარდა 30 კმ/სთ-ზე ნაკლები სიჩქარით მოძრავი ტრანსპორტისა). ნებადართულია გასწრება უეტლო მოტოციკლის, მოპედისა და ველოსიპედის შემხვედრი მოძრაობის ზოლში გადაუსვლელად. ამავე კანონის 45-ე მუხლის მე-6 პუნქტის „დ“ ქვეპუნქტის თანახმად აკრძალულია ბუქსირება მოტოციკლით, გვერდითი მისაბმელის გარეშე, აგრეთვე ასეთი მოტოციკლის ბუქსირება.
<<<ID=444>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 39-ე მუხლის მე-6 პუნქტის თანახმად, რკინიგზის გადასასვლელზე სატრანსპორტო საშუალების იძულებითი გაჩერების სიგნალია ხელის წრიული მოძრაობა (დღისით – მკვეთრი ფერის ქსოვილით ან რაიმე კარგად გასარჩევი საგნით, ღამით – ჩირაღდნით ან ფარნით). საერთო განგაშის სიგნალია ერთი გრძელი და სამი მოკლე ხმოვანი სიგნალი.
<<<ID=1175>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის პირველი დანართის მე-6 თავის (სერვისის ნიშნები) 6.5 პუნქტის თანახმად, საგზაო ნიშანი 6.5 „ტელეფონი” საგზაო მოძრაობის მონაწილეებს აძლევენ ინფორმაციას შესაბამისი ობიექტის ან სერვისის შესახებ.
<<<ID=182>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 29-ე მუხლის მე-11 პუნქტის თანახმად, შუქნიშნის ძირითად მწვანე მაშუქ სიგნალზე გამოსახული კონტურის ისარი/ისრები მძღოლს ამცნობს შუქნიშანზე დამატებითი სექციის შესაძლო არსებობის შესახებ და მიუთითებს ამ სექციის ფერადი მაშუქი სიგნალისაგან განსხვავებული მოძრაობის სხვა ნებადართული მიმართულებების შესახებ.
<<<ID=855>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის მე-20 მუხლის მე-4 პუნქტის თანახმად, აკრძალულია სატრანსპორტო საშუალების სამართავად გადაცემა იმ პირისათვის, რომელიც იმყოფება ალკოჰოლური, ნარკოტიკული ან ფსიქოტროპული სიმთვრალის მდგომარეობაში. ამავე კანონის 21-ე მუხლის მე-15 პუნქტის თანახმად, აკრძალულია სატრანსპორტო საშუალების მართვა ალკოჰოლური, ნარკოტიკუ¬ლი ან ფსიქოტროპული სიმთვრალის მდგომარეობაში, ან იმ სამკურნალო პრეპარატის ზემოქმედებისას, რომელიც აქვეითებს რეაქციას და ყურადღებას.
<<<ID=749>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის პირველი დანართის მე-3 თავის (ამკრძალავი ნიშნები) შენიშვნის „გ.ა“ ქვეპუნქტის თანახმად ნიშნების მოქმედება არ ვრცელდება: გ.ა) 3.1–3.3, 3.18.1, 3.18.2, 3.19, 3.27 ნიშნებისა – სამარშრუტო სატრანსპორტო საშუალებაზე. სურათზე ნაჩვენები საგზაო ნიშნებია: 3.18.2 „მარცხნივ მოხვევა აკრძალულია”, 3.24 „მაქსიმალური სიჩქარის შეზღუდვა”, 3.19 „მობრუნება აკრძალულია” და 3.29 „დგომა აკრძალულია კენტ რიცხვებში”.
<<<ID=706>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის პირველი დანართის მე-3 თავის (ამკრძალავი ნიშნები) 3.17.1 პუნქტის თანახმად საგზაო ნიშანი 3.17.1 „საბაჟო გამშვები პუნქტი“ - კრძალავს საბაჟო გამშვებ პუნქტთან (საქართველოს საბაჟო საზღვართან მდებარე საბაჟო კონტროლის ზონა) გაუჩერებლად გავლას.
<<<ID=1655>>>	მუხრუჭების ბლოკირების საწინააღმდეგო სისტემის (ABC) არ მქონე ავტომობილის დამუხრუჭებისას, რათა ავტომობილმა არ დაკარგოს მართვადობა მძღოლმა უნდა დაამუხრუჭოს სამუხრუჭე სატერფულზე პულსირებულად დაჭერით, ამასთან ეცადოს არ გამოიწვის თვლების ბლოკირება.
<<<ID=368>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 32-ე მუხლის მე-14 პუნქტის თანახმად, გზაზე გასასვლელ ადგილზე გაქანების ზოლის არსებობის შემთხვევაში მძღოლმა უნდა იმოძრაოს ამ ზოლზე და მეზობელ მოძრაობის ზოლზე გადაადგილებისას გზა უნდა დაუთმოს მასზე მოძრავ სატრანსპორტო საშუალებებს.
<<<ID=203>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 30-ე მუხლის მე-5 პუნქტის „გ“ ქვეპუნქტის თანახმად, მარეგულირებლის სიგნალებს აქვთ შემდეგი მნიშვნელობა - წინ გაშვერილი მარჯვენა ხელი - ეს ჟესტი ნიშნავს „სდექ“ სიგნალს მარეგულირებლის მარჯვენა გვერდისა და ზურგის მხრიდან მოძრავი ყველა მძღოლისათვის; ამასთანავე, მარეგულირებლის მარცხენა გვერდის მხრიდან ტრამვაის უფლება აქვს, იმოძრაოს მარცხნივ, ხოლო ურელსო სატრანსპორტო საშუალებას უფლება აქვს, იმოძრაოს ყველა მიმართულებით. მარეგულირებლის მკერდის მხრიდან ყველა სატრანსპორტო საშუალებას უფლება აქვს, იმოძრაოს მხოლოდ მარჯვნივ. ქვეითს უფლება აქვს, გადავიდეს სავალ ნაწილზე მარეგუ¬ლირებლის ზურგის უკან. ამავე კანონის 36-ე მუხლის მე-3 პუნქტის „დ“ ქვეპუნქტის თანახმად, რეგულირებულ გზაჯვარედინზე თუ მარეგულირებლის სიგნალი ერთდროულად მოძრაობის ნებას რთავს ურთიერთგადამკვეთი ტრაექტორიებით მოძრავ ურელსო სატრანსპორტო საშუალებებს, მძღოლებმა უნდა იხელმძღვანელონ არარეგულირებული გზაჯვარედინის გავლის წესებითა და გზაჯვარედინზე დაყენებული პრიორიტეტის ნიშნებით;
<<<ID=799>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის პირველი დანართის მე-5 თავის (განსაკუთრებული მითითებების ნიშნები) 5.15.2 პუნქტის თანახმად, საგზაო ნიშანი 5.15.2 „ზოლზე მოძრაობის მიმართულებები” - მიუთითებს ზოლზე მოძრაობის ნებადართულ მიმართულებებს. ამავე პუნქტის შენიშვნის „ა“ ქვეპუნქტის თანახმად, 5.15.1 და 5.15.2 ნიშნები, რომლებიც უკიდურესი მარცხენა ზოლიდან მოხვე¬ვის ნებას რთავს, ამავე ზოლიდან მობრუნების უფლებასაც იძლევა.
<<<ID=456>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 38-ე მუხლის პირველი პუნქტის „გ.ა“ და „გ.ბ“ ქვეპუნქტების თანახმად, ავტომაგისტრალზე, ავტომაგისტრალის შესასვლელსა და გამოსასვლელზე მძღოლს ეკრძალება: გ.ა) ავტომობილის (ან/და მისი მისაბმელის) გაჩერება ან დგომა, დგომისთვის გამოყოფილი, სპეციალურად მონიშნული ადგილების გარდა. გ.ბ) მობრუნება ან უკუსვლით მოძრაობა, აგრეთვე ცენტრალურ გამყოფ ზოლსა და გზის ორივე სავალი ნაწილის განივ შეერთებაზე გასვლა; ამავე კანონის მე-2 დანართის პირველი თავის (ჰორიზონტალური მონიშვნა) 1.2.1 პუნქტის თანახმად, 1.2.1 მთლიანი ფართო ხაზი - აღნიშნავს ავტომაგისტრალზე სავალი ნაწილის ნაპირებს. 1.2.1 ხაზის გადაკვეთა აკრძალულია. დასაშვებია სავალი ნაწილის ნაპირის აღმნიშვნელი და მძღოლის მარჯვენა მხარეს განლაგებული 1.2.1 ხაზის გადაკვეთა სატრანსპორტო საშუალების გზის ნაპირზე გასაჩერებლად.
<<<ID=351>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 31-ე მუხლის მე-3 პუნქტის თანახმად, საგზაო მონიშვნით აღნიშნული სამი მოძრაობის ზოლის მქონე ორმხრივმოძრაობიან გზაზე თანხვედრი მიმართულების მოძრაობის მხარედ ითვლება მხოლოდ მარჯვენა მხარეს მდებარე მოძრაობის ზოლი, თუ საგზაო მოძრაობის ორგანიზაციის საშუალებებით სხვა რამ არ არის დადგენილი.
<<<ID=1246>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის პირველი დანართის მე-3 თავის (ამკრძალავი ნიშნები) 3.24 პუნქტის თანახმად, საგზაო ნიშნი 3.24 „მაქსიმალური სიჩქარის შეზღუდვა” - კრძალავს მოძრაობას ნიშანზე აღნიშნულზე მეტი სიჩქარით(კმ/სთ). ამავე დანართის მე-8 თავის (დამატებითი ინფორმაციის ნიშნები (დაფები)) 8.1.1 პუნქტის თანახმად, დაფა 8.1.1 „მანძილი ობიექტამდე” - მიუთითებს მანძილს ნიშნიდან სახიფათო მონაკვეთის დასაწყისამდე, სათანადო შეზღუდვის შემოღების ადგილამდე ან წინ, მოძრაობის მიმართულებით არსებულ გარკვეულ ობიექტამდე (ადგილამდე).
<<<ID=282>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 34-ე მუხლის მე-9 პუნქტის „ა.ბ“ ქვეპუნქტის თანახმად, ამ მუხლის მე-3 პუნქტით დადგენილ მოთხოვნათა გათვალისწინებით გასწრება აკრძალულია წრიულმოძრაობიანი გზაჯვარედინისაგან განსხვავებულ გზაჯვარედინზე ან უშუალოდ ამ გზაჯვარედინის წინ, გარდა იმ შემთხვევისა, როდესაც გასწრება ხორციელდება გზაზე, რომელზე მოძრაობის დროსაც მძღოლს ენიჭება გზაჯვარედინზე უპირატესი მოძრაობის უფლება. ამავე მუხლის მე-10 პუნქტის თანახმად ამ მუხლის მე-9 პუნქტის „ა“ და „ბ“ ქვეპუნქტებით განსაზღვრული აკრძალვები არ ვრცელდება ორთვლიანი ველოსიპედის, მოპედისა და ორთვლიანი უეტლო მოტოციკლის გასწრების შემთხვევებზე.
<<<ID=508>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 34-ე მუხლის მე-2 პუნქტის თანახმად, საკმარისი ადგილის არსებობისას ველოსიპედისტსა და მოპედის მძღოლს შეუძლიათ გაჩერებულ ან დაბალი სიჩქარით მოძრავ სატრანსპორტო საშუალებებს მარჯვენა მხრიდან შემოუარონ. ამავე კანონის 33-ე მუხლის მე-6 პუნქტის თანახმად, თუ ამ კანონით სხვა რამ არ არის დადგენილი, დასახლებულ პუნქტში ნებადართულია სატრანსპორტო საშუალების მოძრაობა არაუმეტეს 60 კმ/სთ სიჩქარით, ხოლო საცხოვრებელ ზონაში − არაუმეტეს 20 კმ/სთ სიჩქარით. ამავე კანონის პირველი დანართის მე-5 თავის (განსაკუთრებული მითითებების ნიშნები) 5.21 პუნქტის თანახმად საგზაო ნიშანი 5.21 „საცხოვრებელი ზონა“ - აღნიშნავს ტერიტორიას (ზონას) სადაც მოქმედებს საცხოვრებელ ზონაში მოძრაობისათვის დადგენილი წესები. ნიშანი იდგმება საცხოვრებელი ზონის ყველა შესასვლელში.
<<<ID=425>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 34-ე მე-9 პუნქტის „ბ“ ქვეპუნქტის თანახმად, ამ მუხლის მე-3 პუნქტით დადგენილი მოთხოვნების გათვალისწინებით, გასწრება აკრძალულია რკინიგზის გადასასვლელზე და მის წინ 100 მეტრზე ახლოს, გარდა იმ შემთხვევებისა, როცა ამ ადგილებში მოძრაობა რეგულირდება ისეთი ტიპის შუქნიშნით რომელიც გზაჯვარედინებზე გამოიყენება. ამავე კანონის პირველი დანართის პირველი თავის (მაფრთხილებელი ნიშნები) 1.2 და 1.4.6-1.4.6 პუნქტების თანახმად საგზაო ნიშანი: 1.2 „რკინიგზის უშლაგბაუმო გადასასვლელი” - აფრთხილებს უშლაგბაუმო რკინიგზის გადასასვლელთან მიახლოების შესახებ; 1.4.3 „რკინიგზის გადასასვლელთან მიახლოება” - დამატებით აფრთხილებს მძღოლს დაუსახლებელ პუნქტში რკინიგზის გადასასვლელთან მიახლოების შესახებ. ამავე თავის შენიშვნის „ბ“ და „ვ“ ქვეპუნქტების თანახმად: ბ) ნიშნები 1.1 და 1.2, დაუსახლებულ პუნქტში მეორდება, მეორე ნიშანი იდგმება სახიფათო მონაკვეთის დასაწყისიდან არანაკლებ 50 მეტრის მანძილზე; ვ) ნიშნები 1.4.3 და 1.4.6 იდგმება მოძრაობის მიმართულებით განმეორებით 1.1 ან 1.2 ნიშნებთან.
<<<ID=326>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 37-ე მუხლის მე-6 პუნქტის „ა.ა“ და „ა.გ“ ქვეპუნქტების თანახმად, აკრძალულია სატრანსპორტო საშუალებების გაჩერება გზის სავალ ნაწილზე: ა.ა) ქვეითთა და ველოსიპედისტთა გადასასვლელებზე და მათ წინ 5 მეტრზე ახლოს; ა.გ) სავალი ნაწილების გადაკვეთაზე, აგრეთვე მათი გადაკვეთის ნაპირებიდან 5 მეტრზე ახლოს, გარდა იმ შემთხვევისა, როცა გაჩერება ხდება იმ გვერდითი გასასვლელების მოპირდაპირე სამმხრივ გადაკვეთებზე (გზაჯვარედინებზე), რომლებზედაც მონიშვნის უწყვეტი ხაზი ან გამყოფი ზოლია.
<<<ID=1174>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის პირველი დანართის მე-6 თავის (სერვისის ნიშნები) 6.4 პუნქტის თანახმად, საგზაო ნიშანი 6.4 „ავტომობილის რეცხვა” საგზაო მოძრაობის მონაწილეებს აძლევენ ინფორმაციას შესაბამისი ობიექტის ან სერვისის შესახებ.
<<<ID=915>>>	При повреждении шеи или позвоночника у пострадавшего в результате ДТП или при подозрении на такое повреждение запрещается: двигать голову и шею пострадавшего; прикасаться к ране; вправлять костные осколки; удалять инородные тела.
<<<ID=1239>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის პირველი დანართის მე-7 თავის (საინფორმაციო-მაჩვენებელი ნიშნები) 7.16 პუნქტის თანახმად, 7.16 „სდექ ხაზი” - მიუთითებს სატრანსპორტო საშუალების გაჩერების ადგილს რეგულირებულ გზაჯვარედინსა და არარეგულირებულ რკინიგზის გადასასვლელზე.
<<<ID=193>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 30-ე მუხლის მე-5 პუნქტის „გ“ ქვეპუნქტის თანახმად, მარეგულირებლის სიგნალებს აქვთ შემდეგი მნიშვნელობა - წინ გაშვერილი მარჯვენა ხელი − ეს ჟესტი ნიშნავს „სდექ“ სიგნალს მარეგულირებლის მარჯვენა გვერდისა და ზურგის მხრიდან მოძრავი ყველა მძღოლისათვის; ამასთანავე, მარეგულირებლის მარცხენა გვერდის მხრიდან ტრამვაის უფლება აქვს, იმოძრაოს მარცხნივ, ხოლო ურელსო სატრანსპორტო საშუალებას უფლება აქვს, იმოძრაოს ყველა მიმართულებით. მარეგულირებლის მკერდის მხრიდან ყველა სატრანსპორტო საშუალებას უფლება აქვს, იმოძრაოს მხოლოდ მარჯვნივ. ქვეითს უფლება აქვს, გადავიდეს სავალ ნაწილზე მარეგუ¬ლირებლის ზურგის უკან; ამავე კანონის 32-ე მუხლის მე-5 პუნქტის თანახმად, გარდა იმ შემთხვევისა, როცა მოხვევა სრულდება გზაჯვარედინზე გასასვლელად, სადაც წრიული მოძრაობაა ორგანიზებული, მარჯვნივ ან მარცხნივ მოხვევის წინ, აგრეთვე მობრუნების წინ სატრანსპორტო საშუალების მძღოლი ვალდებულია დროულად დაიკავოს შესაბამისი განაპირა მდებარეობა სავალ ნაწილზე, რომელიც თანმხვედრი მიმართულებით მოძრაობისთვისაა განკუთვნილი.
<<<ID=546>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 33-ე მუხლის მე-8 პუნქტის „ა“ და „დ“ ქვეპუნქტების თანახმად, თუ ამ კანონით სხვა რამ არ არის დადგენილი, დასახლებულ ან დაუსახლებელ პუნქტში ნებადართულია: ა) „T“ და „S“ კატეგორიების სატრანსპორტო საშუალებების მოძრაობა ყველა გზაზე არაუმეტეს 40 კმ/სთ სიჩქარით; დ) იმ მექანიკური სატრანსპორტო საშუალების მოძრაობა, რომელიც ახორციელებს სხვა მექანიკური სატრანსპორტო საშუალების ბუქსირებას, არაუმეტეს 50 კმ/სთ სიჩქარით.
<<<ID=1176>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის პირველი დანართის მე-6 თავის (სერვისის ნიშნები) 6.6 პუნქტის თანახმად, საგზაო ნიშანი 6.6 „კვების პუნქტი” საგზაო მოძრაობის მონაწილეებს აძლევენ ინფორმაციას შესაბამისი ობიექტის ან სერვისის შესახებ.
<<<ID=1252>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 34-ე მუხლის მე-9 პუნქტის „ა.გ“ ქვეპუნქტის თანახმად, ამ მუხლის მე-3 პუნქტით დადგენილ მოთხოვნათა გათვალისწინებით გასწრება აკრძალულია წრიულმოძრაობიანი გზაჯვარედინისაგან განსხვავებულ გზაჯვარედინზე ან უშუალოდ ამ გზაჯვარედინის წინ, გარდა იმ შემთხვევისა, როდესაც გასწრება ხორციელდება რეგულირებულ გზაჯვარედინზე საპირისპირო მოძრაობის ზოლზე გაუსვლელად.
<<<ID=752>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის პირველი დანართის მე-3 თავის (ამკრძალავი ნიშნები) შენიშვნის „გ.ბ“ ქვეპუნქტის თანახმად ნიშნების მოქმედება არ ვრცელდება: გ.ბ) 3.2–3.8 ნიშნებისა – სატრანსპორტო საშუალებაზე, რომელიც ემსახუ¬რება აღნიშნულ ზონაში მდებარე საწარმოს, ანდა ემსახურება ან ეკუთვნის ამავე ზონაში მცხოვრებ ან მომუშავე პირს. ამ შემთხვევაში სატრანსპორტო საშუალება შედის აღნიშნულ ზონაში და გამოდის იქიდან დანიშნულების ადგილისაკენ უახლოეს გზაჯვარედინზე. სურათზე ნაჩვენები საგზაო ნიშნებია: 3.3 „მექანიკური სატრანსპორტო საშუალებით მოძრაობა აკრძალულია”, 3.6 „ტრაქტორით მოძრაობა აკრძალულია”, 3.19 „მობრუნება აკრძალულია” და 3.7 „მისაბმელით მოძრაობა აკრძალულია”.
<<<ID=361>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 32-ე მუხლის მე-4 პუნქტის თანახმად, მოძრაობის მიმართულების შეუცვლელად მოძრაობის ზოლიდან ზოლში გადასვლისას, მძღოლმა გზა უნდა დაუთმოს გადასასვლელ მოძრაობის ზოლში თანმხვედრი მიმართულებით მოძრავ სატრანსპორტო საშუალებას. თანმხვედრი მიმართულებით მოძრავი სატრანსპორტო საშუალებების მიერ, მოძრაობის ზოლების ერთდროულად შეცვლისას, მოძრაობის ტრაექტორიების გადაკვეთის შემთხვევაში, გავლის უპირატესობა ენიჭება მარჯნივ მყოფ სატრანსპორტო საშუალების მძღოლს.
<<<ID=480>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 29-ე მუხლის მე-2 პუნქტის „ე“ ქვეპუნქტისა, მე-5 და მე-10 პუნქტების თანახმად: 2. შუქნიშნის ფერად მაშუქ სიგნალებს აქვს შემდეგი მნიშვნელობა - მწვანე მაშუქი სიგნალი რთავს მოძრაობის ნებას; 5. სამარშრუტო სატრანსპორტო საშუალებების მოძრაობისათვის სპეციალურად გამოყოფილ ზოლზე მოძრაობის რეგულირებისათვის შეიძლება გამოყენებულ იქნეს „T“-სებურად განლაგებული მოყვითალო ოთხი მრგვალი მაშუქი სიგნალი. მოძრაობა ნებადართულია მხოლოდ მაშინ, როცა ერთდროულად ჩართულია ქვედა და ერთი ან რამდენიმე ზედა მაშუქი სიგნალი, რომელთაგან მარცხენა მარცხნივ მოძრაობის უფლებას იძლევა, საშუალო – პირდაპირ, მარჯვენა კი − მარჯვნივ. თუ ჩართულია მხოლოდ სამი ზედა მაშუქი სიგნალი, მოძრაობა აკრძალულია. 10. მწვანე, ყვითელ და წითელ მაშუქ სიგნალებს, რომლებზედაც გამოსახულია ისარი/ისრები, იგივე მნიშვნელობა აქვს, რაც შესაბამისი ფერის უისრო მაშუქ სიგნალებს, მაგრამ მათი მოქმედება ვრცელდება მხოლოდ ისრით/ისრებით მითითებული მიმართულებით/მიმართულებებით. ამასთანავე, ისარი, რომელიც მარცხნივ მოხვევის ნებას რთავს, მობრუნების უფლებასაც იძლევა, თუ ეს აკრძალული არ არის შესაბამისი საგზაო ნიშნით ან საგზაო მონიშვნით. იგივე მნიშვნელობა აქვს შუქნიშნის დამატებით სექციაში მწვანე მაშუქ სიგნალზე გამოსახულ ისარს. შუქნიშნის დამატებითი სექციის გამორთული მაშუქი სიგნალი იტყობინება, რომ ამ სექციით რეგულირებული მიმართულებით მოძრაობა აკრძალულია.
<<<ID=404>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 32-ე მუხლის მე-2 პუნქტის თანახმად, მანევრის დაწყებამდე მძღოლი ვალდებულია ჩართოს შესაბამისი მიმართულების მოხვევის შუქ-მაჩვენებელი, ხოლო თუ ის არ არის ან გამოსულია მწყობრიდან − ანიშნოს ხელით. მარცხნივ მოხვევის ან მობრუნების სიგნალს შეესაბამება გვერდზე ჰორიზონტალურად გაშვერილი მარცხენა ხელი ან გვერდზე გაშვერილი, იდაყვში სწორი კუთხით ზემოთ მოხრილი მარჯვენა ხელი. მარჯვნივ მოხვევის სიგნალს შეესაბამება გვერდზე ჰორიზონტალურად გაშვერილი მარჯვენა ხელი ან გვერდზე გაშვერილი, იდაყვში სწორი კუთხით ზემოთ მოხრილი მარცხენა ხელი. დამუხრუჭების სიგნალს შეესაბამება ზემოთ ვერტიკალურად აწეული მარცხენა ან მარჯვენა ხელი.
